iter	Passed	Remaining
613	51950	371100
614	52039	371046
615	52129	370996
616	52213	370913
617	52305	370876
618	52388	370779
619	52472	370694
620	52570	370705
621	52648	370568
622	52732	370484
623	52866	370744
624	52949	370644
625	53041	370615
626	53133	370581
627	53221	370516
628	53311	370465
629	53406	370451
630	53501	370437
631	53598	370437
632	53687	370383
633	53780	370357
634	53867	370285
635	53962	370268
636	54056	370245
637	54133	370111
638	54209	369962
639	54295	369885
640	54388	369859
641	54474	369782
642	54571	369780
643	54665	369755
644	54752	369683
645	54852	369702
646	54938	369623
647	55031	369593
648	55120	369538
649	55216	369522
650	55297	369414
651	55399	369444
652	55526	369638
653	55623	369631
654	55726	369669
655	55836	369748
656	55936	369762
657	56031	369742
658	56132	369759
659	56225	369724
660	56313	369657
661	56410	369647
662	56503	369619
663	56585	369508
664	56670	369422
665	56747	369284
666	56844	369275
667	56945	369296
668	57047	369318
669	57194	369627
670	57281	369557
671	57370	369494
672	57478	369550
673	57578	369558
674	57671	369527
675	57758	369451
676	57861	369472
677	57945	369382
678	58041	369365
679	58139	369356
680	58222	369254
681	58316	369226
682	58401	369134
683	58498	369124
684	58579	369007
685	58673	368976
686	58755	368869
687	58853	368861
688	58951	368854
689	59049	368846
690	59190	369105
691	59284	369070
692	59384	369075
693	59467	368973
694	59572	369006
695	59675	369030
696	59769	368990
697	59857	368919
698	59946	368853
699	60044	368842
700	60131	368763
701	60218	368686
702	60304	368606
703	60411	368645
704	60513	368658
705	60606	368620
706	60699	368576
707	60794	368542
708	60883	368478
709	61015	368672
710	61106	368614
711	61194	368539
712	61280	368456
713	61377	368437
714	61474	368415
715	61577	368432
716	61657	368309
717	61756	368301
718	61850	368264
719	61952	368271
720	62044	368219
721	62116	368052
722	62194	367920
723	62288	367880
724	62380	367832
725	62461	367715
726	62533	367547
727	62626	367502
728	62777	367794
729	62859	367687
730	62936	367547
731	63020	367447
732	63105	367354
733	63182	367217
734	63283	367216
735	63365	367108
736	63438	366945
737	63525	366862
738	63610	366772
739	63684	366617
740	63770	366531
741	63867	366505
742	63957	366441
743	64044	366362
744	64125	366248
745	64219	366205
746	64290	366031
747	64387	366009
748	64476	365943
749	64568	365889
750	64666	365872
751	64759	365824
752	64854	365785
753	64943	365715
754	65064	365825
755	65152	365747
756	65232	365627
757	65320	365553
758	65412	365497
759	65531	365596
760	65615	365498
761	65693	365367
762	65792	365350
763	65866	365195
764	65956	365129
765	66029	364972
766	66126	364947
767	66219	364899
768	66318	364878
769	66398	364759
770	66482	364662
771	66571	364592
772	66648	364454
773	66742	364408
774	66826	364313
775	66922	364278
776	66999	364140
777	67092	364093
778	67183	364033
779	67270	363950
780	67401	364107
781	67480	363980
782	67568	363902
783	67657	363830
784	67746	363758
785	67836	363693
786	67914	363564
787	67998	363463
788	68084	363374
789	68164	363256
790	68254	363190
791	68343	363120
792	68433	363052
793	68532	363032
794	68620	362957
795	68706	362867
796	68801	362826
797	68876	362681
798	68975	362662
799	69058	362556
800	69152	362509
801	69259	362530
802	69354	362489
803	69492	362675
804	69588	362635
805	69679	362577
806	69779	362557
807	69858	362433
808	69949	362370
809	70043	362322
810	70137	362275
811	70228	362213
812	70327	362188
813	70423	362151
814	70509	362062
815	70603	362014
816	70682	361893
817	70768	361802
818	70857	361726
819	70951	361677
820	71053	361674
821	71147	361621
822	71239	361563
823	71326	361478
824	71418	361422
825	71512	361371
826	71601	361295
827	71729	361417
828	71817	361338
829	71910	361285
830	72001	361221
831	72092	361155
832	72188	361116
833	72280	361056
834	72379	361031
835	72471	360970
836	72567	360928
837	72668	360915
838	72751	360810
839	72844	360755
840	72943	360729
841	73049	360735
842	73146	360701
843	73251	360704
844	73341	360633
845	73443	360620
846	73542	360593
847	73626	360489
848	73751	360590
849	73845	360538
850	73916	360373
851	74009	360320
852	74109	360293
853	74200	360230
854	74298	360193
855	74393	360145
856	74498	360150
857	74599	360129
858	74690	360064
859	74782	360001
860	74875	359940
861	74968	359884
862	75053	359786
863	75134	359670
864	75221	359582
865	75304	359480
866	75397	359419
867	75491	359369
868	75585	359315
869	75669	359211
870	75761	359150
871	75860	359121
872	75944	359016
873	76031	358931
874	76128	358892
875	76224	358849
876	76308	358747
877	76395	358657
878	76519	358745
879	76611	358679
880	76708	358642
881	76803	358592
882	76886	358482
883	76979	358424
884	77058	358298
885	77143	358201
886	77237	358148
887	77333	358100
888	77429	358055
889	77515	357965
890	77599	357863
891	77689	357788
892	77780	357721
893	77874	357664
894	77954	357547
895	78054	357518
896	78144	357442
897	78246	357422
898	78337	357356
899	78425	357273
900	78503	357140
901	78590	357054
902	78685	357003
903	78809	357082
904	78929	357142
905	79018	357064
906	79098	356946
907	79233	357075
908	79322	356995
909	79405	356889
910	79483	356760
911	79584	356732
912	79678	356676
913	79773	356624
914	79872	356590
915	79969	356546
916	80052	356437
917	80155	356420
918	80238	356314
919	80320	356202
920	80410	356126
921	80503	356065
922	80603	356036
923	80689	355944
924	80774	355845
925	80860	355750
926	80957	355705
927	81049	355640
928	81134	355541
929	81217	355434
930	81348	355540
931	81437	355457
932	81523	355366
933	81622	355328
934	81727	355318
935	81824	355271
936	81925	355244
937	82019	355185
938	82111	355115
939	82202	355043
940	82287	354948
941	82419	355050
942	82500	354934
943	82601	354905
944	82684	354801
945	82775	354725
946	82883	354726
947	82981	354684
948	83071	354606
949	83163	354538
950	83258	354485
951	83347	354403
952	83431	354299
953	83517	354205
954	83609	354137
955	83716	354129
956	83809	354064
957	83903	354004
958	83988	353907
959	84088	353870
960	84187	353832
961	84277	353755
962	84374	353709
963	84475	353673
964	84555	353556
965	84652	353508
966	84739	353416
967	84838	353376
968	84921	353269
969	85015	353210
970	85130	353233
971	85230	353199
972	85328	353153
973	85432	353132
974	85529	353084
975	85612	352976
976	85705	352908
977	85798	352845
978	85894	352789
979	85977	352682
980	86064	352594
981	86160	352540
982	86254	352474
983	86357	352452
984	86457	352412
985	86551	352351
986	86737	352661
987	86879	352792
988	87026	352947
989	87124	352898
990	87259	352999
991	87507	353557
992	87636	353633
993	87845	354032
994	87955	354032
995	88042	353939
996	88137	353874
997	88210	353725
998	88293	353617
999	88383	353534
1000	88474	353458
1001	88576	353422
1002	88661	353318
1003	88755	353254
1004	88826	353097
1005	88904	352967
1006	88983	352843
1007	89064	352724
1008	89151	352631
1009	89231	352508
1010	89324	352437
1011	89406	352326
1012	89499	352253
1013	89576	352124
1014	89671	352058
1015	89755	351953
1016	89849	351888
1017	89932	351780
1018	90017	351676
1019	90092	351538
1020	90186	351471
1021	90271	351369
1022	90354	351260
1023	90451	351206
1024	90538	351111
1025	90617	350988
1026	90707	350905
1027	90791	350800
1028	90873	350690
1029	90957	350585
1030	91045	350496
1031	91144	350448
1032	91213	350285
1033	91299	350188
1034	91380	350070
1035	91471	349993
1036	91556	349890
1037	91649	349822
1038	91735	349726
1039	91826	349648
1040	91909	349540
1041	91999	349457
1042	92088	349371
1043	92183	349308
1044	92287	349279
1045	92429	349392
1046	92533	349363
1047	92619	349268
1048	92723	349239
1049	92821	349186
1050	92918	349128
1051	93006	349037
1052	93103	348983
1053	93201	348931
1054	93314	348934
1055	93418	348904
1056	93518	348857
1057	93623	348829
1058	93709	348735
1059	93794	348631
1060	93885	348552
1061	93994	348541
1062	94096	348501
1063	94200	348470
1064	94290	348389
1065	94397	348366
1066	94522	348411
1067	94622	348366
1068	94711	348279
1069	94822	348272
1070	94915	348202
1071	95012	348144
1072	95162	348278
1073	95256	348207
1074	95367	348201
1075	95472	348174
1076	95567	348107
1077	95770	348433
1078	95886	348442
1079	96012	348490
1080	96120	348469
1081	96252	348536
1082	96338	348435
1083	96432	348366
1084	96535	348328
1085	96623	348235
1086	96724	348191
1087	96827	348152
1088	96916	348064
1089	97011	347996
1090	97109	347939
1091	97184	347801
1092	97268	347694
1093	97355	347598
1094	97455	347545
1095	97541	347448
1096	97622	347328
1097	97695	347184
1098	97772	347051
1099	97870	346995
1100	97966	346930
1101	98061	346864
1102	98150	346773
1103	98230	346653
1104	98314	346547
1105	98408	346476
1106	98504	346412
1107	98598	346339
1108	98683	346238
1109	98770	346143
1110	98873	346103
1111	98958	345998
1112	99066	345975
1113	99151	345873
1114	99246	345806
1115	99345	345750
1116	99432	345655
1117	99526	345582
1118	99604	345457
1119	99691	345360
1120	99771	345239
1121	99852	345124
1122	99948	345057
1123	100028	344937
1124	100120	344858
1125	100212	344779
1126	100300	344687
1127	100391	344606
1128	100490	344550
1129	100674	344789
1130	100902	345172
1131	101022	345191
1132	101137	345188
1133	101242	345152
1134	101331	345061
1135	101416	344960
1136	101505	344869
1137	101610	344831
1138	101721	344817
1139	101824	344772
1140	101931	344744
1141	102025	344672
1142	102124	344615
1143	102209	344509
1144	102307	344450
1145	102425	344455
1146	102513	344363
1147	102613	344310
1148	102699	344209
1149	102782	344097
1150	102883	344047
1151	102986	344001
1152	103071	343899
1153	103174	343853
1154	103278	343814
1155	103376	343753
1156	103475	343695
1157	103561	343594
1158	103651	343507
1159	103734	343395
1160	103834	343341
1161	103925	343257
1162	104034	343233
1163	104125	343147
1164	104209	343043
1165	104307	342980
1166	104383	342845
1167	104480	342781
1168	104568	342689
1169	104665	342622
1170	104760	342553
1171	104857	342486
1172	104946	342394
1173	105035	342306
1174	105122	342206
1175	105203	342091
1176	105293	342003
1177	105378	341898
1178	105465	341800
1179	105551	341699
1180	105623	341555
1181	105695	341410
1182	105810	341403
1183	105905	341330
1184	105996	341245
1185	106091	341176
1186	106183	341093
1187	106276	341014
1188	106355	340891
1189	106443	340796
1190	106520	340667
1191	106602	340556
1192	106687	340452
1193	106785	340391
1194	106877	340308
1195	106979	340258
1196	107065	340158
1197	107160	340086
1198	107252	340004
1199	107344	339924
1200	107434	339836
1201	107530	339768
1202	107606	339635
1203	107695	339544
1204	107782	339448
1205	107878	339380
1206	107958	339261
1207	108059	339205
1208	108158	339147
1209	108241	339036
1210	108338	338972
1211	108437	338910
1212	108513	338780
1213	108618	338740
1214	108705	338643
1215	108806	338587
1216	108924	338587
1217	109023	338527
1218	109109	338427
1219	109200	338343
1220	109299	338282
1221	109381	338168
1222	109451	338018
1223	109551	337961
1224	109636	337858
1225	109730	337783
1226	109829	337723
1227	109923	337646
1228	110008	337542
1229	110117	337513
1230	110201	337406
1231	110306	337367
1232	110401	337294
1233	110499	337228
1234	110598	337168
1235	110677	337047
1236	110775	336983
1237	110858	336873
1238	110949	336787
1239	111040	336703
1240	111126	336602
1241	111206	336484
1242	111307	336430
1243	111393	336330
1244	111480	336233
1245	111564	336125
1246	111673	336094
1247	111761	336000
1248	111843	335888
1249	111929	335788
1250	112014	335685
1251	112111	335618
1252	112211	335558
1253	112294	335449
1254	112382	335356
1255	112479	335287
1256	112553	335152
1257	112644	335068
1258	112731	334970
1259	112818	334874
1260	112910	334791
1261	112989	334672
1262	113081	334589
1263	113160	334468
1264	113238	334343
1265	113341	334296
1266	113443	334243
1267	113515	334101
1268	113607	334017
1269	113693	333917
1270	113783	333831
1271	113871	333736
1272	113967	333667
1273	114059	333584
1274	114156	333516
1275	114224	333362
1276	114321	333295
1277	114416	333223
1278	114505	333130
1279	114597	333048
1280	114687	332961
1281	114791	332912
1282	114889	332847
1283	114978	332755
1284	115070	332675
1285	115150	332557
1286	115231	332442
1287	115310	332323
1288	115404	332247
1289	115510	332204
1290	115596	332104
1291	115686	332015
1292	115782	331946
1293	115876	331867
1294	115967	331784
1295	116051	331677
1296	116143	331595
1297	116231	331501
1298	116325	331423
1299	116400	331292
1300	116500	331235
1301	116589	331141
1302	116677	331049
1303	116762	330946
1304	116842	330828
1305	116929	330734
1306	117016	330637
1307	117095	330516
1308	117186	330431
1309	117317	330460
1310	117394	330333
1311	117481	330237
1312	117584	330185
1313	117673	330093
1314	117760	329998
1315	117844	329892
1316	117936	329809
1317	118020	329705
1318	118115	329631
1319	118211	329558
1320	118311	329499
1321	118408	329430
1322	118511	329377
1323	118598	329279
1324	118680	329171
1325	118788	329132
1326	118882	329055
1327	118974	328970
1328	119073	328909
1329	119162	328817
1330	119242	328701
1331	119327	328598
1332	119415	328504
1333	119505	328416
1334	119601	328343
1335	119697	328273
1336	119784	328176
1337	119873	328085
1338	119961	327989
1339	120049	327896
1340	120136	327800
1341	120215	327680
1342	120315	327621
1343	120402	327524
1344	120479	327400
1345	120575	327328
1346	120653	327207
1347	120735	327097
1348	120824	327006
1349	120922	326938
1350	120994	326802
1351	121083	326710
1352	121167	326606
1353	121273	326559
1354	121358	326458
1355	121448	326369
1356	121535	326273
1357	121628	326194
1358	121718	326105
1359	121801	325998
1360	121885	325894
1361	121977	325811
1362	122059	325699
1363	122157	325633
1364	122234	325512
1365	122318	325407
1366	122400	325297
1367	122474	325167
1368	122558	325061
1369	122642	324958
1370	122728	324859
1371	122824	324787
1372	122904	324671
1373	122999	324598
1374	123093	324519
1375	123171	324398
1376	123256	324298
1377	123349	324217
1378	123422	324084
1379	123504	323976
1380	123599	323900
1381	123722	323897
1382	123815	323818
1383	123904	323727
1384	123986	323617
1385	124073	323521
1386	124145	323387
1387	124224	323271
1388	124309	323168
1389	124397	323076
1390	124480	322968
1391	124574	322891
1392	124661	322795
1393	124756	322719
1394	124851	322643
1395	124942	322559
1396	125032	322470
1397	125109	322350
1398	125183	322219
1399	125279	322146
1400	125358	322031
1401	125502	322080
1402	125586	321978
1403	125667	321865
1404	125752	321765
1405	125842	321676
1406	125928	321578
1407	126019	321493
1408	126105	321394
1409	126193	321300
1410	126273	321187
1411	126372	321121
1412	126468	321048
1413	126545	320929
1414	126635	320840
1415	126725	320751
1416	126803	320633
1417	126885	320524
1418	126966	320413
1419	127050	320311
1420	127137	320213
1421	127229	320130
1422	127308	320015
1423	127393	319914
1424	127483	319827
1425	127624	319867
1426	127725	319806
1427	127813	319713
1428	127892	319596
1429	127987	319522
1430	128077	319433
1431	128174	319361
1432	128259	319261
1433	128350	319174
1434	128445	319100
1435	128524	318983
1436	128617	318903
1437	128711	318825
1438	128797	318727
1439	128879	318619
1440	128977	318549
1441	129073	318475
1442	129160	318380
1443	129252	318296
1444	129338	318200
1445	129422	318096
1446	129515	318015
1447	129609	317937
1448	129705	317863
1449	129774	317722
1450	129860	317625
1451	129950	317537
1452	130028	317418
1453	130116	317327
1454	130201	317226
1455	130273	317095
1456	130376	317036
1457	130453	316918
1458	130552	316850
1459	130645	316770
1460	130729	316668
1461	130829	316603
1462	130918	316512
1463	131004	316414
1464	131087	316311
1465	131156	316171
1466	131245	316080
1467	131318	315951
1468	131399	315842
1469	131482	315736
1470	131563	315627
1471	131639	315505
1472	131726	315409
1473	131810	315307
1474	131895	315207
1475	131987	315124
1476	132070	315020
1477	132159	314929
1478	132251	314845
1479	132341	314759
1480	132427	314661
1481	132518	314575
1482	132592	314449
1483	132683	314362
1484	132768	314263
1485	132853	314163
1486	132941	314070
1487	133017	313950
1488	133087	313813
1489	133197	313773
1490	133291	313696
1491	133384	313613
1492	133454	313479
1493	133550	313406
1494	133648	313335
1495	133750	313275
1496	133844	313198
1497	133920	313078
1498	134008	312983
1499	134085	312865
1500	134183	312797
1501	134261	312682
1502	134346	312581
1503	134451	312527
1504	134536	312429
1505	134648	312392
1506	134737	312300
1507	134821	312199
1508	134907	312101
1509	135005	312032
1510	135091	311935
1511	135177	311839
1512	135269	311754
1513	135354	311654
1514	135475	311638
1515	135562	311542
1516	135652	311456
1517	135741	311364
1518	135836	311287
1519	135913	311169
1520	135997	311069
1521	136098	311004
1522	136192	310927
1523	136267	310803
1524	136355	310711
1525	136424	310575
1526	136504	310464
1527	136583	310351
1528	136684	310287
1529	136782	310219
1530	136865	310115
1531	136955	310027
1532	137050	309950
1533	137140	309861
1534	137223	309758
1535	137295	309629
1536	137380	309530
1537	137459	309417
1538	137545	309321
1539	137623	309206
1540	137708	309106
1541	137797	309017
1542	137891	308938
1543	137975	308835
1544	138053	308720
1545	138140	308627
1546	138212	308498
